Lithography,Processor_Base_Frequency,TDP,Max_Memory_Size,Max_Memory_Bandwidth,Graphics_Base_Frequency
14 nm,1.30 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,1.60 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.80 GHz,15 W,32 GB,34.1 GB/s,300 MHz
32 nm,3.60 GHz,130 W,64.23 GB,51.2 GB/s,
14 nm,1.20 GHz,4.5 W,16 GB,29.8 GB/s,300 MHz
14 nm,1.50 GHz,15 W,16 GB,25.6 GB/s,100 MHz
22 nm,1.46 GHz,4.3 W,4 GB,,313 MHz
22 nm,2.41 GHz,10 W,8 GB,,688 MHz
22 nm,2.60 GHz,55 W,32 GB,21 GB/s,650 MHz
90 nm,2.80 GHz,88 W,,,
22 nm,2.40 GHz,35 W,32 GB,25.6 GB/s,650 MHz
90 nm,1.30 GHz,5.5 W,,,
14 nm,1.90 GHz,15 W,16 GB,25.6 GB/s,300 MHz
14 nm,2.10 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.60 GHz,6 W,8 GB,,400 MHz
,32 MHz,,,,
22 nm,2.41 GHz,10 W,8 GB,,688 MHz
22 nm,2.41 GHz,10 W,8 GB,21.3 GB/s,688 MHz
14 nm,1.60 GHz,6.5 W,8 GB,,400 MHz
14 nm,1.50 GHz,10 W,8 GB,,250 MHz
14 nm,1.60 GHz,6 W,8 GB,,400 MHz
22 nm,2.00 GHz,7.5 W,8 GB,,313 MHz
22 nm,2.17 GHz,7.5 W,8 GB,,313 MHz
22 nm,2.16 GHz,7.5 W,8 GB,,313 MHz
22 nm,2.16 GHz,7.5 W,8 GB,21.32 GB/s,313 MHz
14 nm,1.10 GHz,6 W,8 GB,,200 MHz
14 nm,1.50 GHz,6 W,16 GB,29.8 GB/s,300 MHz
14 nm,1.60 GHz,6 W,16 GB,29.8 GB/s,300 MHz
14 nm,1.50 GHz,6 W,16 GB,29.8 GB/s,300 MHz
14 nm,2.30 GHz,15 W,32 GB,34.1 GB/s,300 MHz
14 nm,1.90 GHz,15 W,16 GB,25.6 GB/s,100 MHz
22 nm,1.20 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.40 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,1.20 GHz,11.5 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,1.70 GHz,15 W,16 GB,25.6 GB/s,200 MHz
22 nm,2.30 GHz,37 W,32 GB,25.6 GB/s,400 MHz
22 nm,1.80 GHz,17 W,32 GB,25.6 GB/s,350 MHz
22 nm,2.50 GHz,35 W,32 GB,25.6 GB/s,650 MHz
22 nm,1.90 GHz,17 W,32 GB,25.6 GB/s,350 MHz
22 nm,1.10 GHz,10 W,32 GB,25.6 GB/s,350 MHz
90 nm,1.20 GHz,5.5 W,,,
90 nm,1.10 GHz,5 W,,,
90 nm,1.00 GHz,5 W,,,
130 nm,1.10 GHz,7 W,,,
90 nm,1.60 GHz,7.5 W,,,
90 nm,1.40 GHz,7.5 W,,,
90 nm,1.50 GHz,7.5 W,,,
90 nm,3.80 GHz,115 W,,,
,800 MHz,5.9 W,,,
130 nm,1.30 GHz,12 W,,,
90 nm,3.80 GHz,115 W,,,
,750 MHz,24.6 W,,,
90 nm,2.26 GHz,27 W,,,
90 nm,3.60 GHz,115 W,,,
,700 MHz,7 W,,,
130 nm,800 MHz,10.63 W,,,
90 nm,2.13 GHz,27 W,,,
90 nm,3.60 GHz,115 W,,,
,400 MHz,10.1 W,,,
130 nm,933 MHz,11.61 W,,,
90 nm,2.10 GHz,7.5 W,,,
90 nm,3.60 GHz,115 W,,,
90 nm,2.00 GHz,27 W,,,
130 nm,1.13 GHz,28.7 W,,,
90 nm,4.00 GHz,,,,
90 nm,3.40 GHz,84 W,,,
130 nm,2.80 GHz,68.4 W,,,
90 nm,2.00 GHz,7.5 W,,,
130 nm,1.26 GHz,30.4 W,,,
90 nm,3.40 GHz,84 W,,,
130 nm,2.60 GHz,62.6 W,,,
90 nm,3.40 GHz,84 W,,,
90 nm,1.86 GHz,27 W,,,
130 nm,900 MHz,23.2 W,,,
130 nm,1.40 GHz,32.2 W,,,
90 nm,3.80 GHz,65 W,,,
130 nm,2.50 GHz,61 W,,,
130 nm,1.00 GHz,12.1 W,,,
90 nm,1.80 GHz,21 W,,,
180 nm,850 MHz,22.5 W,,,
90 nm,3.40 GHz,115 W,,,
65 nm,2.80 GHz,95 W,,,
130 nm,2.40 GHz,59.8 W,,,
